country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","24-09-2024 10:00:00",11.7637683,79.7499835,OZONE,1,2,1
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","24-09-2024 10:00:00",17.4559458,78.4332152,OZONE,11,16,14
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","24-09-2024 10:00:00",17.349694,78.451437,OZONE,16,36,17
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","24-09-2024 10:00:00",13.1662,80.2584,OZONE,35,48,46
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","24-09-2024 10:00:00",13.164544,80.26285,OZONE,17,28,20
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","24-09-2024 10:00:00",28.47272,77.482000,OZONE,2,29,4
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","24-09-2024 10:00:00",24.5886166,73.6321397,OZONE,10,59,16
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","24-09-2024 10:00:00",27.608912,75.153302,OZONE,17,91,37
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","24-09-2024 10:00:00",25.14389,75.821256,OZONE,25,49,34
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","24-09-2024 10:00:00",26.509954,80.249612,OZONE,6,15,13
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","24-09-2024 10:00:00",28.2348927,77.8683002,OZONE,17,25,24
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","24-09-2024 10:00:00",29.063510,77.709723,CO,7,74,51
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","24-09-2024 10:00:00",28.802625,78.753728,OZONE,16,28,18
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","24-09-2024 10:00:00",28.569230,77.393848,OZONE,6,302,30
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB","24-09-2024 10:00:00",25.425602,81.917152,OZONE,1,18,3
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","24-09-2024 10:00:00",25.494,81.863,OZONE,4,20,12
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","24-09-2024 10:00:00",25.3505986,82.9083074,OZONE,15,29,25
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","24-09-2024 10:00:00",25.262326,82.995408,CO,12,38,19
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","24-09-2024 10:00:00",23.567923,87.306843,OZONE,57,89,89
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","24-09-2024 10:00:00",22.49929,88.36917,OZONE,7,47,11
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","24-09-2024 10:00:00",26.0881305,87.93840336,OZONE,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","24-09-2024 10:00:00",26.63086,84.90051,OZONE,8,34,12
India,Bihar,Munger,"Town Hall, Munger - BSPCB","24-09-2024 10:00:00",25.376776,86.471523,OZONE,1,6,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","24-09-2024 10:00:00",25.892357,86.590325,OZONE,1,18,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","24-09-2024 10:00:00",24.952822,84.002396,OZONE,1,64,20
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","24-09-2024 10:00:00",28.5918245,77.2273074,OZONE,3,55,11
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","24-09-2024 10:00:00",28.611281,77.237738,OZONE,1,93,10
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-09-2024 10:00:00",26.11442,85.39813,OZONE,12,47,22
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-09-2024 10:00:00",26.181742,91.78063,OZONE,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","24-09-2024 10:00:00",25.592539,85.227158,OZONE,15,172,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","24-09-2024 10:00:00",25.7808257,84.7446768,OZONE,1,11,5
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","24-09-2024 10:00:00",30.751462,76.762879,OZONE,8,23,10
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","24-09-2024 10:00:00",21.219665,81.630094,OZONE,3,17,4
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","24-09-2024 10:00:00",13.67,79.35,OZONE,9,27,19
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","24-09-2024 10:00:00",28.52123,76.37138,OZONE,45,53,49
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-09-2024 10:00:00",20.362421,72.918013,OZONE,4,5,4
India,Delhi,Delhi,"Pusa, Delhi - IMD","24-09-2024 10:00:00",28.636110,77.173332,OZONE,12,36,13
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-09-2024 10:00:00",28.593883,76.270653,OZONE,14,17,16
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-09-2024 10:00:00",28.206800,76.799700,OZONE,10,72,13
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","24-09-2024 10:00:00",28.360699,76.936090,OZONE,10,50,18
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-09-2024 10:00:00",28.806223,76.141105,OZONE,5,63,8
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","24-09-2024 10:00:00",28.674045,77.131023,OZONE,8,71,18
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","24-09-2024 10:00:00",28.672342,77.315260,OZONE,3,52,7
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","24-09-2024 10:00:00",28.4417,77.3217,OZONE,14,39,14
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","24-09-2024 10:00:00",29.536400,75.015800,OZONE,58,140,78
